Entidad,Municipio,SO_2,CO,NOx,COV,PM_010,PM_2_5,NH_3
Aguascalientes,Aguascalientes,907.1750000000001,51566.526000000005,12511.863,21567.916,2601.617,1389.116,13748.262999999999
Aguascalientes,Asientos,10.119,1568.4119999999998,831.565,2294.086,806.08,452.848,5182.0380000000005
Aguascalientes,Calvillo,15.91,2395.4990000000003,716.46,3500.0209999999997,281.688,109.99999999999999,380.88
Aguascalientes,Cosío,4.351,641.0550000000001,550.936,1529.7169999999999,93.845,42.697,2243.721
Aguascalientes,El Llano,7.539,1021.761,750.669,2188.581,237.434,92.46799999999999,5145.328
Aguascalientes,Jesús María,60.254999999999995,5315.832,1415.407,3559.67,494.94399999999996,296.327,1571.078
Aguascalientes,Pabellón de Arteaga,56.9,2009.6640000000002,925.1089999999999,3210.288,164.025,105.81,7722.597
Aguascalientes,Rincón de Romos,18.924999999999997,3029.0339999999997,943.189,2317.691,278.83,163.082,3488.959
Aguascalientes,San Francisco de Los Romo,105.784,1994.8179999999998,1275.848,3512.416,340.605,178.81599999999997,4971.608
Aguascalientes,San José de Gracia,2.1950000000000003,359.203,175.877,515.511,108.091,23.23,256.229
Aguascalientes,Tepezalá,2617.6009999999997,2704.334,3177.718,2077.416,322.868,186.035,2048.969
Baja California,Ensenada,559.9549999999999,37875.848,7606.583,10849.782000000001,4496.7609999999995,2330.574,1444.9959999999999
Baja California,Mexicali,1560.879,70960.152,19884.612,24792.300000000003,11520.119999999999,4988.223,3772.3500000000004
Baja California,Playas de Rosarito,42.146,6649.146,5623.504,4337.755999999999,675.183,660.9910000000001,283.67900000000003
Baja California,Tecate,83.586,6426.4259999999995,1634.62,2708.615,302.207,220.719,428.268
Baja California,Tijuana,979.4219999999999,81243.42700000001,22237.176,39892.974,2572.76,1989.6039999999998,2060.092
Baja California Sur,Comondú,8650.316,9273.07,11011.967999999999,2163.767,1193.158,518.533,689.798
Baja California Sur,La Paz,28300.831000000002,41776.655,27095.864,8557.564,2957.908,1454.4560000000001,620.412
Baja California Sur,Loreto,24.064,1830.0249999999999,784.677,545.64,307.656,82.633,64.799
